word,count
these,1
eddie,1
bonedigger,1
halford,1
so,7
that's,2
on,5
wanna,1
blaze,1
has,2
krampus,1
such,4
pjs,1
guide,1
with,6
was,2
atlanta,2
it,5
you...we,1
don't,1
celebrate,1
thanksgiving,1
europe,1
wait,1
song,5
know,2
album,5
literal,1
same,1
shirt,1
world,1
wearing,1
sign,1
australian,1
grandma,2
season,1
arrived,1
seattle,1
hence,1
sets,1
garden,1
record,1
things,1
open,1
thing,2
10:30am,1
tomorrow,2
come,1
"518,838",1
work,1
stuck,1
treats,1
scared,1
wordless,1
wednesday,1
18/11/2015,1
past,1
via,1
ugh,1
for,24
gift,1
great,1
addiction,1
mom,2
making,1
people,1
get,3
want,11
cool,1
olaf,1
see,1
ones,1
today,2
update,1
right,2
bought,1
another,2
candle,2
giftco,1
ceramic,1
votive,1
holder,1
w/votive,1
love,10
i,40
are,4
like,8
from,3
lights,5
have,9
already,2
let,1
what,3
spirit,2
dollars,5
little,1
fucker,1
sulk,1
downtown,1
knows,2
night,1
favorite,7
merry,2
spoil,5
of,11
wrap,2
buy,3
lol,5
winter,1
checklist,1
got,3
miracle,3
lane,1
pass,1
need,3
caves,1
to,31
nonexistent,1
boyfriend,1
too,1
early,1
me,5
every,5
movie's,1
u,1
realize,1
date,3
nearly,1
here,1
lola's,1
first,1
took,1
happy,3
hour,1
8,1
thanks,1
pat,1
candles,1
exactly,1
holiday,2
shopping,3
your,7
not,5
best,5
new,5
till,3
how,3
gifts,4
it's,2
watch,3
what's,5
an,4
in,11
hints,3
be,5
girlfriend,2
family,6
and,14
now,2
the,18
friends,5
all,10
just,6
5,5
buddies,3
children's,3
a,19
tree,10
is,15
but,8
watching,2
good,4
dropping,3
day,3
i'm,6
1,3
my,18
network,3
hospital,3
amp,7
purchase,3
i'd,3
at,2
you,10
four,1
hundred,1
part,1
confirmed,1
exo's,1
them,2
darryl,1
strawberry,1
york,1
mlb,1
baseball,1
tre,1
white,1
count,1
10,1
house,1
tiger,1
december,1
seeing,1
they,1
sequels,1
nightmare,1
before,1
1st,2
af,1
other,1
starts,2
featuring,1
someone's,1
lot,1
blocks,1
done,1
online,1
nice,1
hassle,1
crazy,1
shoppers,1
i've,1
been,1
hearing,1
about,3
yikes,1
that,2
boi,1
constantly,1
even,1
remaking,1
records,1
their,1
boyfriends,1
again,1
can,1
historical,1
scene,1
mean,1
girls,1
100,1
likes,1
ill,1
release,2
stuff&gt;&gt,1
mixtape,1
hear,1
hahaha,1
3,1
working,2
few,1
vintage,1
lace,1
bet,1
stockings,1
uploaded,1
those,1
website,1
here's,1
peek,1
kind,2
yet,1
tryna,1
decoration,1
snaps,1
hope,2
faith,1
miracles,1
pieces,1
beautiful,1
having,1
piece,1
turned,1
chill,1
him,1
definitely,1
meaning,1
also,1
giving,1
hate,1
being,1
broke,1
taking,1
myself,1
hoping,1
start,1
tuesday,1
turning,1
street,1
liz,1
blared,1
because,1
our,1
while,2
airing,1
out,2
screaming,1
we're,1
fast,1
going,2
22,1
mph,1
putting,1
home,1
drunk,1
always,1
experience,1
safe,1
up,3
when,6
gets,1
hype,1
ready,1
thought,1
abc,2
nyc,1
during,1
productsku:1510303,1
allowed,1
around,2
outside,1
trees,2
ornaments,1
tinsel,1
bongs,1
glasses,1
hair,1
ties,1
ribbons,1
shinys,1
family's,1
25,2
days,3
hunter,1
hit,1
canberra,1
centre,1
ornament,3
dinner,1
park,1
honestly,1
go,1
more,2
goosed,1
baby,2
fowl,1
makes,1
why,1
does,1
sweden,1
smell,1
fun,2
feeling,2
planning,1
movies,2
goodness,1
who,2
picking,2
hard,2
music,4
live,2
forget,2
make,2
one,4
time,5
only,2
car,2
really,3
off,2
christmas,94
list,1
far,1
barrel,1
edition,1
believes,1
men,1
equal,1
women,1
never,1
seen,1
man,1
trying,1
present,1
if,1
anyone,2
wanted,1
idk,1
fila,1
men's,1
vulc,1
13,1
shoes,1
listen,1
decorate,1
until,1
sunday,1
advent,1
beers,1
may,3
next,1
farm,1
put,1
finally,1
will,1
y'all,1
doing,1
winter/christmas,1
year,2
this,7
decorations,1
warmth,1
cat,1
saw,1
mommy,1
kissing,1
santa,1
movie,1
shoutout,1
customer,1
getting,1
did,1
bike,1
didn't,1
mas,1
ramdam,1
mo,1
ang,1
ngayong,1
pasko,1
duets,1
sure,1
own,1
copy,1
donating,3
kicking,1
lighting,1
